Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8399560,2019-01-05 18:42:26,2019-01-05 18:39:40,22604,6916824,22604,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399560/SRR8399560.sralite.1,SRX5208938,214639438_Ankur004-A1-45-4_S4,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213452,SAMN10696618,simple,32630,synthetic construct,214639438_Ankur004-A1-45-4_S4,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,6AA60D258BA14F28955750F9727877E2,FC92AE94D94138CFD166C255BDD30242
SRR8399565,2019-01-05 18:42:26,2019-01-05 18:39:44,27497,8414082,27497,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399565/SRR8399565.sralite.1,SRX5208933,214639439_Ankur005-A1-45-5_S5,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213447,SAMN10696619,simple,32630,synthetic construct,214639439_Ankur005-A1-45-5_S5,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,4775EDF921707AC2DE2C922C8F562F8A,EBF405E5C3B0693B6A4CD898F8BC4AF4
SRR8399566,2019-01-05 18:42:26,2019-01-05 18:39:42,30594,9361764,30594,306,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399566/SRR8399566.sralite.1,SRX5208932,214639440_Ankur006-A1-45-6_S6,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213446,SAMN10696620,simple,32630,synthetic construct,214639440_Ankur006-A1-45-6_S6,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,4DD1820570A605120E18C151FA8336F2,4AE28AB3896A593EE8D048EC391496FA
SRR8399636,2019-01-05 18:42:24,2019-01-05 18:39:46,21108,6459048,21108,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399636/SRR8399636.sralite.1,SRX5208862,214639441_Ankur026-A4-45-2_S26,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213376,SAMN10696664,simple,32630,synthetic construct,214639441_Ankur026-A4-45-2_S26,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,A46877A2E52CAF32E6A46C55DF8E78E6,130F10A1A58F02634818C5211116795F
SRR8399776,2019-01-05 18:43:22,2019-01-05 18:39:56,14160,4332960,14160,306,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399776/SRR8399776.sralite.1,SRX5209235,214639442_Ankur027-A4-45-3_S27,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213749,SAMN10696665,simple,32630,synthetic construct,214639442_Ankur027-A4-45-3_S27,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,518BAFC125783685E1D097617E36DF31,6F8F820435177915AD41134A124C2091
SRR8399840,2019-01-05 18:43:21,2019-01-05 18:40:06,19278,5899068,19278,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399840/SRR8399840.sralite.1,SRX5209171,214639444_Ankur034-A6-45-2_S34,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213685,SAMN10696680,simple,32630,synthetic construct,214639444_Ankur034-A6-45-2_S34,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,D308E03A44BDEF1AF51D1DCEA5ED5DFA,EF86EB2D7CCE8525EF5BCD417C84158E
SRR8399952,2019-01-05 18:43:18,2019-01-05 18:40:38,17776,5439456,17776,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399952/SRR8399952.sralite.1,SRX5209059,214639447_Ankur059-B3-45-3_S59,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213573,SAMN10696729,simple,32630,synthetic construct,214639447_Ankur059-B3-45-3_S59,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,C37474FC3E245E240DB10ADDB2AD066F,6A6D815FB6634C34CA0FEB0E55DE2813
SRR8399503,2019-01-05 18:42:27,2019-01-05 18:39:38,26265,8037090,26265,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399503/SRR8399503.sralite.1,SRX5208995,214639449_Ankur074-C1-45-2_S74,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213509,SAMN10696760,simple,32630,synthetic construct,214639449_Ankur074-C1-45-2_S74,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,F04B2021AABBACB2A2F3F1E24FA6BF6D,ED0EC62D0A0DCDE64AE4A33326DE573C
SRR8399720,2019-01-05 18:42:23,2019-01-05 18:39:46,1911,584766,1911,306,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399720/SRR8399720.sralite.1,SRX5208778,214639451_Ankur093-C3-45-5_S93,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213292,SAMN10696795,simple,32630,synthetic construct,214639451_Ankur093-C3-45-5_S93,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,58DB8B08737707B408964A0808FF9D53,3A6B89908C7C0D2E8374F4EDD3E601BA
SRR8399719,2019-01-05 18:42:23,2019-01-05 18:39:53,20869,6385914,20869,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399719/SRR8399719.sralite.1,SRX5208779,214639452_Ankur094-C3-45-6_S94,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213293,SAMN10696796,simple,32630,synthetic construct,214639452_Ankur094-C3-45-6_S94,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,18BF866D17903DFF347F19BD798E6837,38E73B66612C411E95C9261CE65E789F
SRR8399542,2019-01-05 18:42:26,2019-01-05 18:39:35,12633,3865698,12633,306,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399542/SRR8399542.sralite.1,SRX5208956,214640436_Ankur018-A3-45-2_S18,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213470,SAMN10696648,simple,32630,synthetic construct,214640436_Ankur018-A3-45-2_S18,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,975F184A669E16621CC9F7D188DA22BA,A50BF7D4FFD166934E1A488F9F1E19BA
SRR8399838,2019-01-05 18:43:21,2019-01-05 18:40:07,23662,7240572,23662,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399838/SRR8399838.sralite.1,SRX5209173,214640438_Ankur036-A6-45-4_S36,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213686,SAMN10696682,simple,32630,synthetic construct,214640438_Ankur036-A6-45-4_S36,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,41FD49D979F5B3E1F77F6971BC834F8C,BB1564E7183A117D29299F312ABC8867
